gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,alt3Name,alt3TargetStatus,alt3SpLocs,alt3LisLocs,alt3Basiclevel,alt3superdomain,alt4Name,alt4TargetStatus,alt4SpLocs,alt4LisLocs,alt4Basiclevel,alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,clickedSize,clickedColor,colorMentioned,sizeMentioned,metaColorMentioned,metaSizeMentioned,typeMentioned,automaticallyLabelledTrials,manuallyAddedTrials,oddOneMentions,otherFeatureMentioned,oneMentioned,theMentioned,fullSentence,noColorSizeMentioned
2298-c,1455300983336,13,colorSizeTrial,color21,big_green_binder,target,3,3,NA,NA,big_blue_binder,distractor,2,2,NA,NA,small_blue_binder,distractor,4,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Green,,1455300982314,Green,binder,big,green,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301026871,22,colorSizeTrial,color22,small_blue_ornament,target,2,2,NA,NA,small_purple_ornament,distractor,3,4,NA,NA,small_purple_ornament,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Blue,,1455301026089,Blue,ornament,small,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301030549,23,colorSizeTrial,color42,big_white_phone,target,3,1,NA,NA,big_pink_phone,distractor,4,5,NA,NA,small_pink_phone,distractor,1,4,NA,NA,big_pink_phone,distractor,2,3,NA,NA,small_pink_phone,distractor,5,2,NA,NA,1,1,0,White,,1455301029953,White,phone,big,white,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301036111,24,colorSizeTrial,size43,small_white_weddingcake,target,3,2,NA,NA,big_white_weddingcake,distractor,2,1,NA,NA,big_white_weddingcake,distractor,5,5,NA,NA,big_pink_weddingcake,distractor,4,3,NA,NA,big_white_weddingcake,distractor,1,4,NA,NA,1,1,0,Smallest,,1455301034160,Smallest,weddingcake,small,white,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301044094,26,colorSizeTrial,color41,big_red_toothbrush,target,5,3,NA,NA,small_blue_toothbrush,distractor,1,5,NA,NA,big_blue_toothbrush,distractor,4,4,NA,NA,small_blue_toothbrush,distractor,2,1,NA,NA,small_blue_toothbrush,distractor,3,2,NA,NA,1,1,0,Red,,1455301043093,Red,toothbrush,big,red,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301075572,32,colorSizeTrial,size21,big_purple_bracelet,target,2,4,NA,NA,small_green_bracelet,distractor,4,2,NA,NA,small_purple_bracelet,distractor,3,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Biggest,,1455301074005,Biggest,bracelet,big,purple,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301079190,33,colorSizeTrial,color41,big_red_pepper,target,2,3,NA,NA,small_green_pepper,distractor,5,1,NA,NA,small_green_pepper,distractor,4,5,NA,NA,big_green_pepper,distractor,1,4,NA,NA,small_green_pepper,distractor,3,2,NA,NA,1,1,0,Red,,1455301078159,Red,pepper,big,red,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301083897,34,colorSizeTrial,size41,big_blue_golfball,target,3,5,NA,NA,small_pink_golfball,distractor,4,2,NA,NA,small_blue_golfball,distractor,5,4,NA,NA,small_pink_golfball,distractor,2,1,NA,NA,small_pink_golfball,distractor,1,3,NA,NA,1,1,0,Biggest,,1455301082453,Biggest,golfball,big,blue,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301087519,35,colorSizeTrial,color43,big_blue_cap,target,4,2,NA,NA,big_orange_cap,distractor,1,4,NA,NA,big_orange_cap,distractor,2,1,NA,NA,small_orange_cap,distractor,3,3,NA,NA,big_orange_cap,distractor,5,5,NA,NA,1,1,0,Blue,,1455301086692,Blue,cap,big,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301097374,37,colorSizeTrial,size21,small_white_teacup,target,3,3,NA,NA,big_white_teacup,distractor,4,4,NA,NA,big_pink_teacup,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Smallest,,1455301096270,Smallest,teacup,small,white,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301101290,38,colorSizeTrial,color33,small_green_avocado,target,3,3,NA,NA,small_black_avocado,distractor,2,1,NA,NA,small_black_avocado,distractor,4,2,NA,NA,small_black_avocado,distractor,1,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Green,,1455301100651,Green,avocado,small,green,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301131023,45,colorSizeTrial,size44,small_purple_hairdryer,target,5,1,NA,NA,big_purple_hairdryer,distractor,4,2,NA,NA,big_purple_hairdryer,distractor,1,4,NA,NA,big_purple_hairdryer,distractor,2,3,NA,NA,big_purple_hairdryer,distractor,3,5,NA,NA,1,1,0,Smallest,,1455301130365,Smallest,hairdryer,small,purple,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301138366,46,colorSizeTrial,size42,small_yellow_shoe,target,4,4,NA,NA,big_white_shoe,distractor,1,2,NA,NA,big_yellow_shoe,distractor,5,1,NA,NA,big_yellow_shoe,distractor,2,3,NA,NA,big_white_shoe,distractor,3,5,NA,NA,1,1,0,Smallest yellow,,1455301136984,Smallest yellow,shoe,small,yellow,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301147110,48,colorSizeTrial,size41,small_pink_bucket,target,5,5,NA,NA,big_red_bucket,distractor,3,3,NA,NA,big_red_bucket,distractor,4,4,NA,NA,big_pink_bucket,distractor,2,2,NA,NA,big_red_bucket,distractor,1,1,NA,NA,1,1,0,Smallest,,1455301146292,Smallest,bucket,small,pink,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301151453,49,colorSizeTrial,color44,big_purple_rug,target,5,4,NA,NA,big_blue_rug,distractor,3,2,NA,NA,big_blue_rug,distractor,1,5,NA,NA,big_blue_rug,distractor,2,1,NA,NA,big_blue_rug,distractor,4,3,NA,NA,1,1,0,Purple,,1455301150460,Purple,rug,big,purple,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301154923,50,colorSizeTrial,color22,small_blue_comb,target,4,2,NA,NA,small_black_comb,distractor,2,4,NA,NA,small_black_comb,distractor,3,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Blue,,1455301154277,Blue,comb,small,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301201572,59,colorSizeTrial,size33,small_blue_guitar,target,3,2,NA,NA,big_blue_guitar,distractor,2,3,NA,NA,big_blue_guitar,distractor,1,1,NA,NA,big_blue_guitar,distractor,4,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Smallest,,1455301200465,Smallest,guitar,small,blue,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301204879,60,colorSizeTrial,color44,small_red_stapler,target,4,3,NA,NA,small_purple_stapler,distractor,5,2,NA,NA,small_purple_stapler,distractor,1,1,NA,NA,small_purple_stapler,distractor,2,5,NA,NA,small_purple_stapler,distractor,3,4,NA,NA,1,1,0,Red,,1455301204086,Red,stapler,small,red,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301209999,61,colorSizeTrial,size31,big_blue_cushion,target,2,3,NA,NA,small_orange_cushion,distractor,4,2,NA,NA,small_orange_cushion,distractor,3,4,NA,NA,small_blue_cushion,distractor,1,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Biggest,,1455301209359,Biggest,cushion,big,blue,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301214206,62,colorSizeTrial,color31,small_red_chair,target,1,2,NA,NA,big_green_chair,distractor,4,1,NA,NA,small_green_chair,distractor,3,4,NA,NA,big_green_chair,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Red,,1455301213117,Red,chair,small,red,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301223408,64,colorSizeTrial,color32,big_blue_book,target,4,2,NA,NA,big_black_book,distractor,3,3,NA,NA,big_black_book,distractor,2,4,NA,NA,small_black_book,distractor,1,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Blue,,1455301222686,Blue,book,big,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301227900,65,colorSizeTrial,color33,small_red_bike,target,3,2,NA,NA,small_purple_bike,distractor,2,3,NA,NA,small_purple_bike,distractor,1,1,NA,NA,small_purple_bike,distractor,4,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Red,,1455301225821,Red,bike,small,red,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301233578,66,colorSizeTrial,size32,big_purple_rock,target,2,1,NA,NA,small_green_rock,distractor,1,4,NA,NA,small_purple_rock,distractor,3,3,NA,NA,small_purple_rock,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Largest,,1455301231977,Largest,rock,big,purple,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301239632,67,colorSizeTrial,size31,big_yellow_napkin,target,2,2,NA,NA,small_orange_napkin,distractor,4,1,NA,NA,small_orange_napkin,distractor,3,4,NA,NA,small_yellow_napkin,distractor,1,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Biggest,,1455301237151,Biggest,napkin,big,yellow,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301249502,69,colorSizeTrial,size43,big_yellow_balloon,target,2,5,NA,NA,small_pink_balloon,distractor,5,4,NA,NA,small_yellow_balloon,distractor,1,3,NA,NA,small_yellow_balloon,distractor,3,1,NA,NA,small_yellow_balloon,distractor,4,2,NA,NA,1,1,0,Biggest,,1455301248212,Biggest,balloon,big,yellow,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455301260421,71,colorSizeTrial,color43,small_pink_framee,target,5,5,NA,NA,small_green_framee,distractor,1,3,NA,NA,small_green_framee,distractor,4,1,NA,NA,big_green_framee,distractor,3,2,NA,NA,small_green_framee,distractor,2,4,NA,NA,1,1,0,Pink,,1455301259493,Pink,framee,small,pink,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455300938686,1,colorSizeTrial,color21,small_brown_jacket,target,4,4,NA,NA,big_green_jacket,distractor,3,2,NA,NA,small_green_jacket,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,brown,,1455300935258,brown,jacket,small,brown,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455300995108,4,colorSizeTrial,color43,big_pink_balloon,target,4,4,NA,NA,big_yellow_balloon,distractor,1,5,NA,NA,big_yellow_balloon,distractor,3,3,NA,NA,small_yellow_balloon,distractor,5,1,NA,NA,big_yellow_balloon,distractor,2,2,NA,NA,1,1,0,pink,,1455300987587,pink,balloon,big,pink,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301005987,5,colorSizeTrial,size21,small_white_phone,target,3,3,NA,NA,big_white_phone,distractor,4,4,NA,NA,big_pink_phone,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,small,,1455301004418,small,phone,small,white,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301015086,6,colorSizeTrial,color44,big_blue_guitar,target,1,4,NA,NA,big_green_guitar,distractor,5,5,NA,NA,big_green_guitar,distractor,4,2,NA,NA,big_green_guitar,distractor,2,1,NA,NA,big_green_guitar,distractor,3,3,NA,NA,1,1,0,blue,,1455301013844,blue,guitar,big,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301025075,7,colorSizeTrial,size44,small_red_toothbrush,target,2,2,NA,NA,big_red_toothbrush,distractor,4,1,NA,NA,big_red_toothbrush,distractor,1,4,NA,NA,big_red_toothbrush,distractor,3,3,NA,NA,big_red_toothbrush,distractor,5,5,NA,NA,1,1,0,small,,1455301023492,small,toothbrush,small,red,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301033366,8,colorSizeTrial,color41,small_green_bracelet,target,2,2,NA,NA,big_purple_bracelet,distractor,3,3,NA,NA,big_purple_bracelet,distractor,4,4,NA,NA,small_purple_bracelet,distractor,1,1,NA,NA,big_purple_bracelet,distractor,5,5,NA,NA,1,1,0,green,,1455301032035,green,bracelet,small,green,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301048606,9,colorSizeTrial,color22,small_brown_turtle,target,2,2,NA,NA,small_black_turtle,distractor,4,3,NA,NA,small_black_turtle,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,green,,1455301047492,green,turtle,small,brown,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301065718,11,colorSizeTrial,size32,big_pink_teacup,target,1,2,NA,NA,small_pink_teacup,distractor,3,4,NA,NA,small_white_teacup,distractor,4,3,NA,NA,small_pink_teacup,distractor,2,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,large,,1455301064555,large,teacup,big,pink,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301090916,14,colorSizeTrial,color21,big_blue_book,target,4,2,NA,NA,big_black_book,distractor,3,3,NA,NA,small_black_book,distractor,2,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,blue,,1455301089829,blue,book,big,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301106967,16,colorSizeTrial,size43,big_green_chair,target,5,5,NA,NA,small_red_chair,distractor,1,3,NA,NA,small_green_chair,distractor,2,2,NA,NA,small_green_chair,distractor,3,1,NA,NA,small_green_chair,distractor,4,4,NA,NA,1,1,0,large,,1455301105421,large,chair,big,green,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301114096,17,colorSizeTrial,size33,small_purple_coathanger,target,2,1,NA,NA,big_purple_coathanger,distractor,4,3,NA,NA,big_purple_coathanger,distractor,1,4,NA,NA,big_purple_coathanger,distractor,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,small,,1455301113215,small,coathanger,small,purple,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301137775,19,colorSizeTrial,size44,small_pink_weddingcake,target,2,5,NA,NA,big_pink_weddingcake,distractor,4,2,NA,NA,big_pink_weddingcake,distractor,1,3,NA,NA,big_pink_weddingcake,distractor,5,1,NA,NA,big_pink_weddingcake,distractor,3,4,NA,NA,1,1,0,small,,1455301136251,small,weddingcake,small,pink,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301158017,21,colorSizeTrial,color42,big_blue_tack,target,3,5,NA,NA,big_red_tack,distractor,5,4,NA,NA,big_red_tack,distractor,2,2,NA,NA,small_red_tack,distractor,1,3,NA,NA,small_red_tack,distractor,4,1,NA,NA,1,1,0,blue,,1455301156797,blue,tack,big,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301180176,24,colorSizeTrial,color33,small_blue_binder,target,4,4,NA,NA,small_green_binder,distractor,1,3,NA,NA,small_green_binder,distractor,3,1,NA,NA,small_green_binder,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,blue,,1455301179006,blue,binder,small,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301187993,25,colorSizeTrial,size21,big_purple_bike,target,4,3,NA,NA,small_purple_bike,distractor,2,2,NA,NA,small_red_bike,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,large,,1455301186436,large,bike,big,purple,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301250507,28,colorSizeTrial,color31,big_purple_hairdryer,target,1,2,NA,NA,small_pink_hairdryer,distractor,3,4,NA,NA,big_pink_hairdryer,distractor,4,3,NA,NA,small_pink_hairdryer,distractor,2,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,purple,,1455301249203,purple,hairdryer,big,purple,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301258394,29,colorSizeTrial,size32,small_red_pepper,target,3,1,NA,NA,big_green_pepper,distractor,4,2,NA,NA,big_red_pepper,distractor,2,4,NA,NA,big_red_pepper,distractor,1,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,small,,1455301257358,small,pepper,small,red,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301320636,35,colorSizeTrial,color33,small_red_stapler,target,2,1,NA,NA,small_purple_stapler,distractor,1,4,NA,NA,small_purple_stapler,distractor,4,3,NA,NA,small_purple_stapler,distractor,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,red,,1455301319206,red,stapler,small,red,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301331131,36,colorSizeTrial,size42,big_black_belt,target,3,5,NA,NA,small_black_belt,distractor,1,3,NA,NA,small_brown_belt,distractor,2,2,NA,NA,small_brown_belt,distractor,5,1,NA,NA,small_black_belt,distractor,4,4,NA,NA,1,1,0,large,,1455301328726,large,belt,big,black,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2662-0,1455301343007,37,colorSizeTrial,size31,big_blue_golfball,target,1,3,NA,NA,small_pink_golfball,distractor,4,1,NA,NA,small_blue_golfball,distractor,3,2,NA,NA,small_pink_golfball,distractor,2,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,large,,1455301337790,large,golfball,big,blue,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
