gameid	time	roundNum	trialType	condition	nameClickedObj	targetStatusClickedObj	spLocsClickedObj	lisLocsClickedObj	basiclevelClickedObj	superdomainClickedObj	alt1Name	alt1TargetStatus	alt1SpLocs	alt1LisLocs	alt1Basiclevel	alt1superdomain	alt2Name	alt2TargetStatus	alt2SpLocs	alt2LisLocs	alt2Basiclevel	alt2superdomain	alt3Name	alt3TargetStatus	alt3SpLocs	alt3LisLocs	alt3Basiclevel	alt3superdomain	alt4Name	alt4TargetStatus	alt4SpLocs	alt4LisLocs	alt4Basiclevel	alt4superdomain	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	refExp	sizeMentioned	colorMentioned	typeMentioned	clickedType	clickedSize	clickedColor	colors	sizes	types	oneMentioned	theMentioned
4242-5	1455301095862	1	colorSizeTrial	size41	small_blue_ornament	target	5	5	NA	NA	big_purple_ornament	distractor	1	1	NA	NA	big_purple_ornament	distractor	4	4	NA	NA	big_purple_ornament	distractor	3	2	NA	NA	big_blue_ornament	distractor	2	3	NA	NA	2	1	1	its a small blue ornament	What color is the ornament?	1455301079649___1455301091733	its a small blue ornament	True	True	True	ornament	small	blue	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301107495	2	colorSizeTrial	size33	small_brown_turtle	target	4	1	NA	NA	big_brown_turtle	distractor	3	3	NA	NA	big_brown_turtle	distractor	1	4	NA	NA	big_brown_turtle	distractor	2	2	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	2	2	0	blue___its the smallest turtle		1455301097032___1455301104610	blue	False	False	False	turtle	small	brown	TRUE	FALSE	FALSE	FALSE	FALSE
4242-5	1455301147524	6	colorSizeTrial	color44	small_purple_butterfly	target	5	2	NA	NA	small_blue_butterfly	distractor	3	5	NA	NA	small_blue_butterfly	distractor	1	3	NA	NA	small_blue_butterfly	distractor	2	1	NA	NA	small_blue_butterfly	distractor	4	4	NA	NA	1	1	0	the pink butterfly		1455301145129	the pink butterfly	False	False	True	butterfly	small	purple	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301176935	9	colorSizeTrial	color21	small_pink_golfball	target	4	2	NA	NA	big_blue_golfball	distractor	3	3	NA	NA	small_blue_golfball	distractor	2	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the pink golf ball		1455301174929	the pink golf ball	False	True	False	golfball	small	pink	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301185971	10	colorSizeTrial	color31	small_green_rock	target	2	1	NA	NA	small_purple_rock	distractor	1	2	NA	NA	big_purple_rock	distractor	4	3	NA	NA	big_purple_rock	distractor	3	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the green thing		1455301184214	the green thing	False	True	False	rock	small	green	TRUE	FALSE	FALSE	TRUE	TRUE
4242-5	1455301198799	12	colorSizeTrial	color32	small_blue_cap	target	3	2	NA	NA	big_orange_cap	distractor	4	4	NA	NA	small_orange_cap	distractor	1	3	NA	NA	small_orange_cap	distractor	2	1	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the blue hat		1455301196754	the blue hat	False	True	False	cap	small	blue	TRUE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301228145	15	colorSizeTrial	size22	small_pink_balloon	target	2	2	NA	NA	big_pink_balloon	distractor	3	4	NA	NA	big_pink_balloon	distractor	4	3	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the small pink balloon		1455301225734	the small pink balloon	True	True	True	balloon	small	pink	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301247426	17	colorSizeTrial	size44	small_pink_phone	target	4	4	NA	NA	big_pink_phone	distractor	5	5	NA	NA	big_pink_phone	distractor	1	3	NA	NA	big_pink_phone	distractor	3	2	NA	NA	big_pink_phone	distractor	2	1	NA	NA	1	1	0	the smallest pink phone		1455301245989	the smallest pink phone	False	True	True	phone	small	pink	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301255721	18	colorSizeTrial	color33	big_purple_yarn	target	4	4	NA	NA	big_red_yarn	distractor	2	2	NA	NA	big_red_yarn	distractor	3	3	NA	NA	big_red_yarn	distractor	1	1	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	they purple yarn		1455301254414	they purple yarn	False	True	True	yarn	big	purple	TRUE	FALSE	TRUE	FALSE	FALSE
4242-5	1455301269233	19	colorSizeTrial	size33	small_white_weddingcake	target	4	3	NA	NA	big_white_weddingcake	distractor	3	1	NA	NA	big_white_weddingcake	distractor	2	4	NA	NA	big_white_weddingcake	distractor	1	2	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the smallest wedding cake		1455301268088	the smallest wedding cake	False	False	False	weddingcake	small	white	FALSE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301293929	22	colorSizeTrial	size42	small_blue_cushion	target	3	1	NA	NA	big_blue_cushion	distractor	5	2	NA	NA	big_orange_cushion	distractor	4	3	NA	NA	big_blue_cushion	distractor	1	5	NA	NA	big_orange_cushion	distractor	2	4	NA	NA	1	1	0	the small blue pillow		1455301292809	the small blue pillow	True	True	False	cushion	small	blue	TRUE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301330486	23	colorSizeTrial	color42	big_black_avocado	target	1	4	NA	NA	small_green_avocado	distractor	4	3	NA	NA	big_green_avocado	distractor	3	1	NA	NA	small_green_avocado	distractor	2	2	NA	NA	big_green_avocado	distractor	5	5	NA	NA	1	1	0	the darkest  fruit		1455301324895	the darkest  fruit	False	False	False	avocado	big	black	FALSE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301346573	25	colorSizeTrial	color33	small_purple_bike	target	3	3	NA	NA	small_red_bike	distractor	2	1	NA	NA	small_red_bike	distractor	1	4	NA	NA	small_red_bike	distractor	4	2	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the purple bike		1455301345335	the purple bike	False	True	True	bike	small	purple	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301362283	27	colorSizeTrial	color22	big_pink_teacup	target	4	4	NA	NA	big_white_teacup	distractor	2	3	NA	NA	big_white_teacup	distractor	3	2	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the pink cup 		1455301360939	the pink cup 	False	True	False	teacup	big	pink	TRUE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301373956	28	colorSizeTrial	size21	small_red_candle	target	4	2	NA	NA	big_blue_candle	distractor	2	3	NA	NA	big_red_candle	distractor	3	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the smallest red candle		1455301372404	the smallest red candle	False	True	True	candle	small	red	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301383776	29	colorSizeTrial	size44	small_orange_billiardball	target	4	5	NA	NA	big_orange_billiardball	distractor	1	1	NA	NA	big_orange_billiardball	distractor	2	2	NA	NA	big_orange_billiardball	distractor	5	4	NA	NA	big_orange_billiardball	distractor	3	3	NA	NA	1	1	0	the smallest 5 ball		1455301382435	the smallest 5 ball	False	False	False	billiardball	small	orange	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301399794	31	colorSizeTrial	color21	big_purple_stapler	target	3	3	NA	NA	small_red_stapler	distractor	2	2	NA	NA	big_red_stapler	distractor	4	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the purple stapler		1455301396432	the purple stapler	False	True	True	stapler	big	purple	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301408156	32	colorSizeTrial	size32	big_yellow_shoe	distractor	1	1	NA	NA	big_white_shoe	distractor	4	2	NA	NA	small_white_shoe	target	2	3	NA	NA	big_white_shoe	distractor	3	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the yellow shoe		1455301406858	the yellow shoe	False	True	True	shoe	big	yellow	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301415465	33	colorSizeTrial	color43	big_blue_comb	target	4	1	NA	NA	big_black_comb	distractor	3	2	NA	NA	big_black_comb	distractor	2	4	NA	NA	small_black_comb	distractor	1	5	NA	NA	big_black_comb	distractor	5	3	NA	NA	1	1	0	the blue comb		1455301413909	the blue comb	False	True	True	comb	big	blue	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301429762	35	colorSizeTrial	color22	big_blue_rug	target	3	2	NA	NA	big_purple_rug	distractor	4	3	NA	NA	big_purple_rug	distractor	2	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the blue rug		1455301428906	the blue rug	False	True	True	rug	big	blue	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301454053	38	colorSizeTrial	color31	small_blue_book	target	2	2	NA	NA	big_black_book	distractor	1	4	NA	NA	big_black_book	distractor	4	3	NA	NA	small_black_book	distractor	3	1	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the blue book		1455301453092	the blue book	False	True	True	book	small	blue	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301477492	41	colorSizeTrial	size21	big_green_chair	target	4	3	NA	NA	small_green_chair	distractor	2	4	NA	NA	small_red_chair	distractor	3	2	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the big green chair		1455301475189	the big green chair	True	True	True	chair	big	green	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301491280	43	colorSizeTrial	size42	small_pink_framee	target	5	1	NA	NA	big_pink_framee	distractor	2	2	NA	NA	big_green_framee	distractor	1	3	NA	NA	big_pink_framee	distractor	3	4	NA	NA	big_green_framee	distractor	4	5	NA	NA	1	1	0	the small pink frame		1455301490225	the small pink frame	True	True	False	framee	small	pink	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301513921	45	colorSizeTrial	size43	big_blue_toothbrush	target	2	2	NA	NA	small_blue_toothbrush	distractor	1	1	NA	NA	small_blue_toothbrush	distractor	5	3	NA	NA	small_blue_toothbrush	distractor	3	5	NA	NA	small_red_toothbrush	distractor	4	4	NA	NA	1	1	0	the biggest blue toothbrush		1455301511879	the biggest blue toothbrush	False	True	True	toothbrush	big	blue	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301530878	46	colorSizeTrial	color44	small_brown_belt	target	2	4	NA	NA	small_black_belt	distractor	3	2	NA	NA	small_black_belt	distractor	4	3	NA	NA	small_black_belt	distractor	5	1	NA	NA	small_black_belt	distractor	1	5	NA	NA	1	1	0	the light brown belt		1455301529305	the light brown belt	False	True	True	belt	small	brown	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301548710	48	colorSizeTrial	color41	small_green_bracelet	target	3	1	NA	NA	big_purple_bracelet	distractor	4	4	NA	NA	big_purple_bracelet	distractor	2	2	NA	NA	big_purple_bracelet	distractor	1	3	NA	NA	small_purple_bracelet	distractor	5	5	NA	NA	1	1	0	the green necklace		1455301546017	the green necklace	False	True	False	bracelet	small	green	TRUE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301566554	50	colorSizeTrial	size43	big_red_tack	target	5	4	NA	NA	small_red_tack	distractor	1	3	NA	NA	small_blue_tack	distractor	2	2	NA	NA	small_red_tack	distractor	3	1	NA	NA	small_red_tack	distractor	4	5	NA	NA	1	1	0	the biggest red push pin		1455301564816	the biggest red push pin	False	True	False	tack	big	red	TRUE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301589772	52	colorSizeTrial	size31	big_purple_hairdryer	target	3	2	NA	NA	small_pink_hairdryer	distractor	2	4	NA	NA	small_pink_hairdryer	distractor	4	1	NA	NA	small_purple_hairdryer	distractor	1	3	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the biggest purple hair dryer		1455301587974	the biggest purple hair dryer	False	True	False	hairdryer	big	purple	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301607029	54	colorSizeTrial	size22	small_green_jacket	target	3	2	NA	NA	big_green_jacket	distractor	4	3	NA	NA	big_green_jacket	distractor	2	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the smallest green hoddie		1455301605729	the smallest green hoddie	False	True	False	jacket	small	green	TRUE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301638269	55	colorSizeTrial	size31	big_blue_guitar	target	1	1	NA	NA	small_green_guitar	distractor	4	2	NA	NA	small_green_guitar	distractor	2	4	NA	NA	small_blue_guitar	distractor	3	3	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the biggest blue gutair		1455301636015	the biggest blue gutair	False	True	False	guitar	big	blue	TRUE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301648196	56	colorSizeTrial	color42	small_blue_binder	target	4	3	NA	NA	small_green_binder	distractor	5	1	NA	NA	small_green_binder	distractor	1	4	NA	NA	big_green_binder	distractor	2	2	NA	NA	big_green_binder	distractor	3	5	NA	NA	1	1	0	the blue thing		1455301646990	the blue thing	False	True	False	binder	small	blue	TRUE	FALSE	FALSE	TRUE	TRUE
